generation,fitness_min,fitness_mean,fitness_max,fitness_std,labels_entropy,labels_imbalance
0,0.0625,0.098125,0.15234375,0.015010169079036052,0.9998550008381684,1.08
1,0.05859375,0.100078125,0.13671875,0.015661870560476642,0.9998550008381685,1.08
2,0.0546875,0.09796875,0.14453125,0.01537574629794437,0.9999202655046178,1.04
3,0.0625,0.101171875,0.1328125,0.012309336919209945,0.9997244715052694,1.08
4,0.06640625,0.10046875,0.1484375,0.017170446084770193,0.9998550008381685,1.08
5,0.0625,0.0985546875,0.15234375,0.016180128856848414,0.9998550008381685,1.08
6,0.0625,0.0980859375,0.125,0.014244642890371762,0.9997897361717188,1.08
7,0.05859375,0.0994140625,0.140625,0.01547165968530748,0.9998550008381684,1.08
8,0.0546875,0.10078125,0.13671875,0.013037749428342685,0.999789736171719,1.08
9,0.0625,0.1025,0.14453125,0.01706383064866298,0.9998550008381685,1.08
10,0.0625,0.10109375,0.1328125,0.014815763089949165,0.999789736171719,1.08
11,0.05859375,0.0987109375,0.12890625,0.013222007115713133,0.9999202655046178,1.04
12,0.05078125,0.0984375,0.13671875,0.014594954447085473,0.9998550008381685,1.08
13,0.05859375,0.09890625,0.1484375,0.016330554544128316,0.9998550008381684,1.08
14,0.05859375,0.10015625,0.13671875,0.014411045161828132,0.9999202655046178,1.04
15,0.06640625,0.101328125,0.1328125,0.012558700062730419,0.9998550008381684,1.08
16,0.0625,0.10046875,0.14453125,0.014947009263979868,0.9997268898426638,1.12
17,0.0546875,0.0978515625,0.1328125,0.015303080249960096,0.9998550008381685,1.08
18,0.06640625,0.1009375,0.1484375,0.016027244260750195,0.9998550008381684,1.08
19,0.05859375,0.1005859375,0.140625,0.017341066444980215,0.9997897361717188,1.08
20,0.05859375,0.099453125,0.14453125,0.016316907031607583,0.999789736171719,1.08
21,0.0546875,0.1018359375,0.140625,0.013923521139351523,0.999789736171719,1.08
22,0.05859375,0.098203125,0.1328125,0.016369191777639024,0.9998550008381684,1.08
23,0.0546875,0.100703125,0.1484375,0.015786083727547022,0.9999202655046178,1.04
24,0.0625,0.0979296875,0.140625,0.015060658195874732,0.9997268898426638,1.12
25,0.05859375,0.0976953125,0.12890625,0.013958983145244453,0.9997268898426639,1.12
26,0.05859375,0.0995703125,0.12890625,0.013682975404420221,0.9997268898426638,1.12
27,0.06640625,0.100390625,0.15234375,0.016614195561044327,0.9997268898426638,1.12
